proname|args|rettype|provolatile|proleakproof
age|{timestamp,timestamp}|interval|i|f
age|{timestamptz}|interval|s|f
age|{timestamptz,timestamptz}|interval|i|f
age|{xid}|int4|s|f
amvalidate|{oid}|bool|v|f
any_in|{cstring}|any|i|f
any_out|{any}|cstring|i|f
anyarray_in|{cstring}|anyarray|i|f
anyarray_out|{anyarray}|cstring|s|f
anyarray_recv|{internal}|anyarray|s|f
anyarray_send|{anyarray}|bytea|s|f
anyelement_in|{cstring}|anyelement|i|f
anyelement_out|{anyelement}|cstring|i|f
anyenum_in|{cstring}|anyenum|i|f
anyenum_out|{anyenum}|cstring|s|f
anynonarray_in|{cstring}|anynonarray|i|f
anynonarray_out|{anynonarray}|cstring|i|f
anyrange_in|{cstring,int4,oid}|anyrange|s|f
anyrange_out|{anyrange}|cstring|s|f
anytextcat|{anynonarray,text}|text|s|f
area|{box}|float8|i|f
area|{circle}|float8|i|f
area|{path}|float8|i|f
areajoinsel|{int2,internal,oid,internal,internal}|float8|s|f
areasel|{internal,internal,oid,int4}|float8|s|f
array_agg|{anyarray}|anyarray|i|f
array_agg|{anynonarray}|anyarray|i|f
array_agg_array_finalfn|{anyarray,internal}|anyarray|i|f
array_agg_array_transfn|{internal,anyarray}|internal|i|f
array_agg_finalfn|{internal,anynonarray}|anyarray|i|f
array_agg_transfn|{anynonarray,internal}|internal|i|f
array_append|{anyarray,anyelement}|anyarray|i|f
array_cat|{anyarray,anyarray}|anyarray|i|f
array_dims|{anyarray}|text|i|f
array_eq|{anyarray,anyarray}|bool|i|f
array_fill|{anyelement,_int4}|anyarray|i|f
array_fill|{anyelement,_int4,_int4}|anyarray|i|f
array_ge|{anyarray,anyarray}|bool|i|f
array_gt|{anyarray,anyarray}|bool|i|f
array_in|{cstring,int4,oid}|anyarray|s|f
array_larger|{anyarray,anyarray}|anyarray|i|f
array_le|{anyarray,anyarray}|bool|i|f
array_length|{anyarray,int4}|int4|i|f
array_lower|{int4,anyarray}|int4|i|f
array_lt|{anyarray,anyarray}|bool|i|f
array_ndims|{anyarray}|int4|i|f
array_ne|{anyarray,anyarray}|bool|i|f
array_out|{anyarray}|cstring|s|f
array_position|{anyelement,anyarray}|int4|i|f
array_position|{anyelement,anyarray,int4}|int4|i|f
array_positions|{anyelement,anyarray}|_int4|i|f
array_prepend|{anyelement,anyarray}|anyarray|i|f
array_recv|{internal,int4,oid}|anyarray|s|f
array_remove|{anyarray,anyelement}|anyarray|i|f
array_replace|{anyelement,anyelement,anyarray}|anyarray|i|f
array_send|{anyarray}|bytea|s|f
array_smaller|{anyarray,anyarray}|anyarray|i|f
array_to_json|{anyarray}|json|s|f
array_to_json|{bool,anyarray}|json|s|f
array_to_string|{text,anyarray}|text|s|f
array_to_string|{text,text,anyarray}|text|s|f
array_to_tsvector|{_text}|tsvector|i|f
array_typanalyze|{internal}|bool|s|f
array_unnest_support|{internal}|internal|i|f
array_upper|{anyarray,int4}|int4|i|f
arraycontained|{anyarray,anyarray}|bool|i|f
arraycontains|{anyarray,anyarray}|bool|i|f
arraycontjoinsel|{oid,internal,int2,internal,internal}|float8|s|f
arraycontsel|{internal,oid,internal,int4}|float8|s|f
arrayoverlap|{anyarray,anyarray}|bool|i|f
ascii|{text}|int4|i|f
ascii_to_mic|{int4,cstring,internal,int4,int4}|void|i|f
ascii_to_utf8|{cstring,internal,int4,int4,int4}|void|i|f
asin|{float8}|float8|i|f
asind|{float8}|float8|i|f
asinh|{float8}|float8|i|f
atan|{float8}|float8|i|f
atan2|{float8,float8}|float8|i|f
atan2d|{float8,float8}|float8|i|f
atand|{float8}|float8|i|f
atanh|{float8}|float8|i|f
avg|{float4}|float8|i|f
avg|{float8}|float8|i|f
avg|{int2}|numeric|i|f
avg|{int4}|numeric|i|f
avg|{int8}|numeric|i|f
avg|{interval}|interval|i|f
avg|{numeric}|numeric|i|f
bernoulli|{internal}|tsm_handler|v|f
big5_to_euc_tw|{int4,int4,cstring,internal,int4}|void|i|f
big5_to_mic|{int4,cstring,internal,int4,int4}|void|i|f
big5_to_utf8|{int4,cstring,internal,int4,int4}|void|i|f
binary_upgrade_create_empty_extension|{_oid,_text,_text,bool,text,text,text}|void|v|f
binary_upgrade_set_missing_value|{oid,text,text}|void|v|f
binary_upgrade_set_next_array_pg_type_oid|{oid}|void|v|f
binary_upgrade_set_next_heap_pg_class_oid|{oid}|void|v|f
binary_upgrade_set_next_index_pg_class_oid|{oid}|void|v|f
binary_upgrade_set_next_pg_authid_oid|{oid}|void|v|f
binary_upgrade_set_next_pg_enum_oid|{oid}|void|v|f
binary_upgrade_set_next_pg_type_oid|{oid}|void|v|f
binary_upgrade_set_next_toast_pg_class_oid|{oid}|void|v|f
binary_upgrade_set_next_toast_pg_type_oid|{oid}|void|v|f
binary_upgrade_set_record_init_privs|{bool}|void|v|f
bit|{bool,bit,int4}|bit|i|f
bit|{int4,int4}|bit|i|f
bit|{int4,int8}|bit|i|f
bit_and|{bit}|bit|i|f
bit_and|{int2}|int2|i|f
bit_and|{int4}|int4|i|f
bit_and|{int8}|int8|i|f
bit_in|{cstring,oid,int4}|bit|i|f
bit_length|{bit}|int4|i|f
bit_length|{bytea}|int4|i|f
bit_length|{text}|int4|i|f
bit_or|{bit}|bit|i|f
bit_or|{int2}|int2|i|f
bit_or|{int4}|int4|i|f
bit_or|{int8}|int8|i|f
bit_out|{bit}|cstring|i|f
bit_recv|{oid,internal,int4}|bit|i|f
bit_send|{bit}|bytea|i|f
bitand|{bit,bit}|bit|i|f
bitcat|{varbit,varbit}|varbit|i|f
bitcmp|{bit,bit}|int4|i|t
biteq|{bit,bit}|bool|i|t
bitge|{bit,bit}|bool|i|t
bitgt|{bit,bit}|bool|i|t
bitle|{bit,bit}|bool|i|t
bitlt|{bit,bit}|bool|i|t
bitne|{bit,bit}|bool|i|t
bitnot|{bit}|bit|i|f
bitor|{bit,bit}|bit|i|f
bitshiftleft|{bit,int4}|bit|i|f
bitshiftright|{bit,int4}|bit|i|f
bittypmodin|{_cstring}|int4|i|f
bittypmodout|{int4}|cstring|i|f
bitxor|{bit,bit}|bit|i|f
bool|{int4}|bool|i|f
bool|{jsonb}|bool|i|f
bool_accum|{bool,internal}|internal|i|f
bool_accum_inv|{bool,internal}|internal|i|f
bool_alltrue|{internal}|bool|i|f
bool_and|{bool}|bool|i|f
bool_anytrue|{internal}|bool|i|f
bool_or|{bool}|bool|i|f
booland_statefunc|{bool,bool}|bool|i|f
booleq|{bool,bool}|bool|i|t
boolge|{bool,bool}|bool|i|t
boolgt|{bool,bool}|bool|i|t
boolin|{cstring}|bool|i|f
boolle|{bool,bool}|bool|i|t
boollt|{bool,bool}|bool|i|t
boolne|{bool,bool}|bool|i|t
boolor_statefunc|{bool,bool}|bool|i|f
boolout|{bool}|cstring|i|f
boolrecv|{internal}|bool|i|f
boolsend|{bool}|bytea|i|f
bound_box|{box,box}|box|i|f
box|{box3d}|box|i|f
box|{circle}|box|i|f
box|{geometry}|box|i|f
box|{point}|box|i|f
box|{point,point}|box|i|f
box|{polygon}|box|i|f
box2d|{box3d}|box2d|i|f
box2d|{geometry}|box2d|i|f
box2d_in|{cstring}|box2d|i|f
box2d_out|{box2d}|cstring|i|f
box2df_in|{cstring}|box2df|i|f
box2df_out|{box2df}|cstring|i|f
box3d|{box2d}|box3d|i|f
box3d|{geometry}|box3d|i|f
box3d_in|{cstring}|box3d|i|f
box3d_out|{box3d}|cstring|i|f
box3dtobox|{box3d}|box|i|f
box_above|{box,box}|bool|i|f
box_above_eq|{box,box}|bool|i|f
box_add|{box,point}|box|i|f
box_below|{box,box}|bool|i|f
box_below_eq|{box,box}|bool|i|f
box_center|{box}|point|i|f
box_contain|{box,box}|bool|i|f
box_contain_pt|{point,box}|bool|i|f
box_contained|{box,box}|bool|i|f
box_distance|{box,box}|float8|i|f
box_div|{point,box}|box|i|f
box_eq|{box,box}|bool|i|f
box_ge|{box,box}|bool|i|f
box_gt|{box,box}|bool|i|f
box_in|{cstring}|box|i|f
box_intersect|{box,box}|box|i|f
box_le|{box,box}|bool|i|f
box_left|{box,box}|bool|i|f
box_lt|{box,box}|bool|i|f
box_mul|{point,box}|box|i|f
box_out|{box}|cstring|i|f
box_overabove|{box,box}|bool|i|f
box_overbelow|{box,box}|bool|i|f
box_overlap|{box,box}|bool|i|f
box_overleft|{box,box}|bool|i|f
box_overright|{box,box}|bool|i|f
box_recv|{internal}|box|i|f
box_right|{box,box}|bool|i|f
box_same|{box,box}|bool|i|f
box_send|{box}|bytea|i|f
box_sub|{point,box}|box|i|f
bpchar|{char}|bpchar|i|f
bpchar|{int4,bpchar,bool}|bpchar|i|f
bpchar|{name}|bpchar|i|f
bpchar_larger|{bpchar,bpchar}|bpchar|i|t
bpchar_pattern_ge|{bpchar,bpchar}|bool|i|t
bpchar_pattern_gt|{bpchar,bpchar}|bool|i|t
bpchar_pattern_le|{bpchar,bpchar}|bool|i|t
bpchar_pattern_lt|{bpchar,bpchar}|bool|i|t
bpchar_smaller|{bpchar,bpchar}|bpchar|i|t
bpchar_sortsupport|{internal}|void|i|f
bpcharcmp|{bpchar,bpchar}|int4|i|t
bpchareq|{bpchar,bpchar}|bool|i|t
bpcharge|{bpchar,bpchar}|bool|i|t
bpchargt|{bpchar,bpchar}|bool|i|t
bpchariclike|{bpchar,text}|bool|i|f
bpcharicnlike|{text,bpchar}|bool|i|f
bpcharicregexeq|{bpchar,text}|bool|i|f
bpcharicregexne|{bpchar,text}|bool|i|f
bpcharin|{oid,int4,cstring}|bpchar|i|f
bpcharle|{bpchar,bpchar}|bool|i|t
bpcharlike|{text,bpchar}|bool|i|f
bpcharlt|{bpchar,bpchar}|bool|i|t
bpcharne|{bpchar,bpchar}|bool|i|t
bpcharnlike|{bpchar,text}|bool|i|f
bpcharout|{bpchar}|cstring|i|f
bpcharrecv|{int4,oid,internal}|bpchar|s|f
bpcharregexeq|{bpchar,text}|bool|i|f
bpcharregexne|{bpchar,text}|bool|i|f
bpcharsend|{bpchar}|bytea|s|f
bpchartypmodin|{_cstring}|int4|i|f
bpchartypmodout|{int4}|cstring|i|f
brin_desummarize_range|{regclass,int8}|void|v|f
brin_inclusion_add_value|{internal,internal,internal,internal}|bool|i|f
brin_inclusion_consistent|{internal,internal,internal}|bool|i|f
brin_inclusion_opcinfo|{internal}|internal|i|f
brin_inclusion_union|{internal,internal,internal}|bool|i|f
brin_minmax_add_value|{internal,internal,internal,internal}|bool|i|f
brin_minmax_consistent|{internal,internal,internal}|bool|i|f
brin_minmax_opcinfo|{internal}|internal|i|f
brin_minmax_union|{internal,internal,internal}|bool|i|f
brin_summarize_new_values|{regclass}|int4|v|f
brin_summarize_range|{int8,regclass}|int4|v|f
brinhandler|{internal}|index_am_handler|v|f
broadcast|{inet}|inet|i|f
btarraycmp|{anyarray,anyarray}|int4|i|f
btboolcmp|{bool,bool}|int4|i|t
btbpchar_pattern_cmp|{bpchar,bpchar}|int4|i|t
btbpchar_pattern_sortsupport|{internal}|void|i|f
btcharcmp|{char,char}|int4|i|t
btfloat48cmp|{float8,float4}|int4|i|t
btfloat4cmp|{float4,float4}|int4|i|t
btfloat4sortsupport|{internal}|void|i|f
btfloat84cmp|{float4,float8}|int4|i|t
btfloat8cmp|{float8,float8}|int4|i|t
btfloat8sortsupport|{internal}|void|i|f
bthandler|{internal}|index_am_handler|v|f
btint24cmp|{int2,int4}|int4|i|t
btint28cmp|{int8,int2}|int4|i|t
btint2cmp|{int2,int2}|int4|i|t
btint2sortsupport|{internal}|void|i|f
btint42cmp|{int4,int2}|int4|i|t
btint48cmp|{int4,int8}|int4|i|t
btint4cmp|{int4,int4}|int4|i|t
btint4sortsupport|{internal}|void|i|f
btint82cmp|{int2,int8}|int4|i|t
btint84cmp|{int8,int4}|int4|i|t
btint8cmp|{int8,int8}|int4|i|t
btint8sortsupport|{internal}|void|i|f
btnamecmp|{name,name}|int4|i|t
btnamesortsupport|{internal}|void|i|f
btnametextcmp|{text,name}|int4|i|t
btoidcmp|{oid,oid}|int4|i|t
btoidsortsupport|{internal}|void|i|f
btoidvectorcmp|{oidvector,oidvector}|int4|i|t
btrecordcmp|{record,record}|int4|i|f
btrecordimagecmp|{record,record}|int4|i|f
btrim|{bytea,bytea}|bytea|i|f
btrim|{text}|text|i|f
btrim|{text,text}|text|i|f
bttext_pattern_cmp|{text,text}|int4|i|t
bttext_pattern_sortsupport|{internal}|void|i|f
bttextcmp|{text,text}|int4|i|t
bttextnamecmp|{name,text}|int4|i|t
bttextsortsupport|{internal}|void|i|f
bttidcmp|{tid,tid}|int4|i|t
bytea|{geography}|bytea|i|f
bytea|{geometry}|bytea|i|f
bytea_sortsupport|{internal}|void|i|f
bytea_string_agg_finalfn|{internal}|bytea|i|f
bytea_string_agg_transfn|{bytea,internal,bytea}|internal|i|f
byteacat|{bytea,bytea}|bytea|i|f
byteacmp|{bytea,bytea}|int4|i|t
byteaeq|{bytea,bytea}|bool|i|t
byteage|{bytea,bytea}|bool|i|t
byteagt|{bytea,bytea}|bool|i|t
byteain|{cstring}|bytea|i|f
byteale|{bytea,bytea}|bool|i|t
bytealike|{bytea,bytea}|bool|i|f
bytealt|{bytea,bytea}|bool|i|t
byteane|{bytea,bytea}|bool|i|t
byteanlike|{bytea,bytea}|bool|i|f
byteaout|{bytea}|cstring|i|f
bytearecv|{internal}|bytea|i|f
byteasend|{bytea}|bytea|i|f
cardinality|{anyarray}|int4|i|f
cash_cmp|{money,money}|int4|i|t
cash_div_cash|{money,money}|float8|i|f
cash_div_flt4|{money,float4}|money|i|f
cash_div_flt8|{float8,money}|money|i|f
cash_div_int2|{int2,money}|money|i|f
cash_div_int4|{int4,money}|money|i|f
cash_div_int8|{int8,money}|money|i|f
cash_eq|{money,money}|bool|i|t
cash_ge|{money,money}|bool|i|t
cash_gt|{money,money}|bool|i|t
cash_in|{cstring}|money|s|f
cash_le|{money,money}|bool|i|t
cash_lt|{money,money}|bool|i|t
cash_mi|{money,money}|money|i|f
cash_mul_flt4|{money,float4}|money|i|f
cash_mul_flt8|{money,float8}|money|i|f
cash_mul_int2|{int2,money}|money|i|f
cash_mul_int4|{int4,money}|money|i|f
cash_mul_int8|{money,int8}|money|i|f
cash_ne|{money,money}|bool|i|t
cash_out|{money}|cstring|s|f
cash_pl|{money,money}|money|i|f
cash_recv|{internal}|money|i|f
cash_send|{money}|bytea|i|f
cash_words|{money}|text|i|f
cashlarger|{money,money}|money|i|f
cashsmaller|{money,money}|money|i|f
cbrt|{float8}|float8|i|f
ceil|{float8}|float8|i|f
ceil|{numeric}|numeric|i|f
ceiling|{float8}|float8|i|f
ceiling|{numeric}|numeric|i|f
center|{box}|point|i|f
center|{circle}|point|i|f
char|{int4}|char|i|f
char|{text}|char|i|f
char_length|{bpchar}|int4|i|f
char_length|{text}|int4|i|f
character_length|{bpchar}|int4|i|f
character_length|{text}|int4|i|f
chareq|{char,char}|bool|i|t
charge|{char,char}|bool|i|t
chargt|{char,char}|bool|i|t
charin|{cstring}|char|i|f
charle|{char,char}|bool|i|t
charlt|{char,char}|bool|i|t
charne|{char,char}|bool|i|t
charout|{char}|cstring|i|f
charrecv|{internal}|char|i|f
charsend|{char}|bytea|i|f
checkauth|{text,text}|int4|v|f
checkauth|{text,text,text}|int4|v|f
chr|{int4}|text|i|f
cideq|{cid,cid}|bool|i|t
cidin|{cstring}|cid|i|f
cidout|{cid}|cstring|i|f
cidr|{inet}|cidr|i|f
cidr_in|{cstring}|cidr|i|f
cidr_out|{cidr}|cstring|i|f
cidr_recv|{internal}|cidr|i|f
cidr_send|{cidr}|bytea|i|f
cidrecv|{internal}|cid|i|f
cidsend|{cid}|bytea|i|f
circle|{box}|circle|i|f
circle|{point,float8}|circle|i|f
circle|{polygon}|circle|i|f
circle_above|{circle,circle}|bool|i|f
circle_add_pt|{circle,point}|circle|i|f
circle_below|{circle,circle}|bool|i|f
circle_center|{circle}|point|i|f
circle_contain|{circle,circle}|bool|i|f
circle_contain_pt|{point,circle}|bool|i|f
circle_contained|{circle,circle}|bool|i|f
circle_distance|{circle,circle}|float8|i|f
circle_div_pt|{circle,point}|circle|i|f
circle_eq|{circle,circle}|bool|i|t
circle_ge|{circle,circle}|bool|i|t
circle_gt|{circle,circle}|bool|i|t
circle_in|{cstring}|circle|i|f
circle_le|{circle,circle}|bool|i|t
circle_left|{circle,circle}|bool|i|f
circle_lt|{circle,circle}|bool|i|t
circle_mul_pt|{point,circle}|circle|i|f
circle_ne|{circle,circle}|bool|i|t
circle_out|{circle}|cstring|i|f
circle_overabove|{circle,circle}|bool|i|f
circle_overbelow|{circle,circle}|bool|i|f
circle_overlap|{circle,circle}|bool|i|f
circle_overleft|{circle,circle}|bool|i|f
circle_overright|{circle,circle}|bool|i|f
circle_recv|{internal}|circle|i|f
circle_right|{circle,circle}|bool|i|f
circle_same|{circle,circle}|bool|i|f
circle_send|{circle}|bytea|i|f
circle_sub_pt|{point,circle}|circle|i|f
close_lb|{box,line}|point|i|f
close_ls|{lseg,line}|point|i|f
close_lseg|{lseg,lseg}|point|i|f
close_pb|{point,box}|point|i|f
close_pl|{point,line}|point|i|f
close_ps|{point,lseg}|point|i|f
close_sb|{box,lseg}|point|i|f
close_sl|{lseg,line}|point|i|f
col_description|{oid,int4}|text|s|f
concat|{any}|text|s|f
concat_ws|{any,text}|text|s|f
contains_2d|{box2df,box2df}|bool|i|f
contains_2d|{box2df,geometry}|bool|i|f
contains_2d|{geometry,box2df}|bool|i|f
contjoinsel|{int2,internal,oid,internal,internal}|float8|s|f
contsel|{internal,int4,oid,internal}|float8|s|f
convert|{name,bytea,name}|bytea|s|f
convert_from|{bytea,name}|text|s|f
convert_to|{text,name}|bytea|s|f
corr|{float8,float8}|float8|i|f
cos|{float8}|float8|i|f
cosd|{float8}|float8|i|f
cosh|{float8}|float8|i|f
cot|{float8}|float8|i|f
cotd|{float8}|float8|i|f
count|{any}|int8|i|f
covar_pop|{float8,float8}|float8|i|f
covar_samp|{float8,float8}|float8|i|f
cstring_in|{cstring}|cstring|i|f
cstring_out|{cstring}|cstring|i|f
cstring_recv|{internal}|cstring|s|f
cstring_send|{cstring}|bytea|s|f
cume_dist|{any}|float8|i|f
cume_dist_final|{any,internal}|float8|i|f
current_schemas|{bool}|_name|s|f
current_setting|{bool,text}|text|s|f
current_setting|{text}|text|s|f
currtid|{tid,oid}|tid|v|f
currtid2|{tid,text}|tid|v|f
currval|{regclass}|int8|v|f
cursor_to_xml|{int4,refcursor,text,bool,bool}|xml|v|f
cursor_to_xmlschema|{refcursor,text,bool,bool}|xml|v|f
database_to_xml|{bool,text,bool}|xml|s|f
database_to_xml_and_xmlschema|{bool,bool,text}|xml|s|f
database_to_xmlschema|{text,bool,bool}|xml|s|f
date|{timestamp}|date|i|f
date|{timestamptz}|date|s|f
date_cmp|{date,date}|int4|i|t
date_cmp_timestamp|{timestamp,date}|int4|i|f
date_cmp_timestamptz|{timestamptz,date}|int4|s|f
date_eq|{date,date}|bool|i|t
date_eq_timestamp|{timestamp,date}|bool|i|f
date_eq_timestamptz|{timestamptz,date}|bool|s|f
date_ge|{date,date}|bool|i|t
date_ge_timestamp|{timestamp,date}|bool|i|f
date_ge_timestamptz|{date,timestamptz}|bool|s|f
date_gt|{date,date}|bool|i|t
date_gt_timestamp|{timestamp,date}|bool|i|f
date_gt_timestamptz|{timestamptz,date}|bool|s|f
date_in|{cstring}|date|s|f
date_larger|{date,date}|date|i|f
date_le|{date,date}|bool|i|t
date_le_timestamp|{timestamp,date}|bool|i|f
date_le_timestamptz|{timestamptz,date}|bool|s|f
date_lt|{date,date}|bool|i|t
date_lt_timestamp|{date,timestamp}|bool|i|f
date_lt_timestamptz|{date,timestamptz}|bool|s|f
date_mi|{date,date}|int4|i|f
date_mi_interval|{interval,date}|timestamp|i|f
date_mii|{int4,date}|date|i|f
date_ne|{date,date}|bool|i|t
date_ne_timestamp|{date,timestamp}|bool|i|f
date_ne_timestamptz|{timestamptz,date}|bool|s|f
date_out|{date}|cstring|s|f
date_part|{date,text}|float8|i|f
date_part|{text,interval}|float8|i|f
date_part|{text,timestamp}|float8|i|f
date_part|{text,timetz}|float8|i|f
date_part|{time,text}|float8|i|f
date_part|{timestamptz,text}|float8|s|f
date_pl_interval|{interval,date}|timestamp|i|f
date_pli|{int4,date}|date|i|f
date_recv|{internal}|date|i|f
date_send|{date}|bytea|i|f
date_smaller|{date,date}|date|i|f
date_sortsupport|{internal}|void|i|f
date_trunc|{interval,text}|interval|i|f
date_trunc|{text,timestamp}|timestamp|i|f
date_trunc|{text,timestamptz,text}|timestamptz|s|f
date_trunc|{timestamptz,text}|timestamptz|s|f
daterange|{date,date}|daterange|i|f
daterange|{date,text,date}|daterange|i|f
daterange_canonical|{daterange}|daterange|i|f
daterange_subdiff|{date,date}|float8|i|f
datetime_pl|{time,date}|timestamp|i|f
datetimetz_pl|{timetz,date}|timestamptz|i|f
dcbrt|{float8}|float8|i|f
decode|{text,text}|bytea|i|f
degrees|{float8}|float8|i|f
dense_rank|{any}|int8|i|f
dense_rank_final|{internal,any}|int8|i|f
dexp|{float8}|float8|i|f
diagonal|{box}|lseg|i|f
diameter|{circle}|float8|i|f
dispell_init|{internal}|internal|i|f
dispell_lexize|{internal,internal,internal,internal}|internal|i|f
dist_cpoint|{point,circle}|float8|i|f
dist_cpoly|{circle,polygon}|float8|i|f
dist_lb|{line,box}|float8|i|f
dist_pb|{box,point}|float8|i|f
dist_pc|{circle,point}|float8|i|f
dist_pl|{point,line}|float8|i|f
dist_polyp|{point,polygon}|float8|i|f
dist_ppath|{path,point}|float8|i|f
dist_ppoly|{polygon,point}|float8|i|f
dist_ps|{point,lseg}|float8|i|f
dist_sb|{lseg,box}|float8|i|f
dist_sl|{lseg,line}|float8|i|f
div|{numeric,numeric}|numeric|i|f
dlog1|{float8}|float8|i|f
dlog10|{float8}|float8|i|f
domain_in|{cstring,oid,int4}|any|s|f
domain_recv|{int4,oid,internal}|any|s|f
dpow|{float8,float8}|float8|i|f
dropgeometrycolumn|{varchar,varchar}|text|v|f
dropgeometrycolumn|{varchar,varchar,varchar}|text|v|f
dropgeometrycolumn|{varchar,varchar,varchar,varchar}|text|v|f
dropgeometrytable|{varchar}|text|v|f
dropgeometrytable|{varchar,varchar}|text|v|f
dropgeometrytable|{varchar,varchar,varchar}|text|v|f
dround|{float8}|float8|i|f
dsimple_init|{internal}|internal|i|f
dsimple_lexize|{internal,internal,internal,internal}|internal|i|f
dsnowball_init|{internal}|internal|v|f
dsnowball_lexize|{internal,internal,internal,internal}|internal|v|f
dsqrt|{float8}|float8|i|f
dsynonym_init|{internal}|internal|i|f
dsynonym_lexize|{internal,internal,internal,internal}|internal|i|f
dtrunc|{float8}|float8|i|f
elem_contained_by_range|{anyrange,anyelement}|bool|i|f
encode|{bytea,text}|text|i|f
enum_cmp|{anyenum,anyenum}|int4|i|f
enum_eq|{anyenum,anyenum}|bool|i|f
enum_first|{anyenum}|anyenum|s|f
enum_ge|{anyenum,anyenum}|bool|i|f
enum_gt|{anyenum,anyenum}|bool|i|f
enum_in|{cstring,oid}|anyenum|s|f
enum_larger|{anyenum,anyenum}|anyenum|i|f
enum_last|{anyenum}|anyenum|s|f
enum_le|{anyenum,anyenum}|bool|i|f
enum_lt|{anyenum,anyenum}|bool|i|f
enum_ne|{anyenum,anyenum}|bool|i|f
enum_out|{anyenum}|cstring|s|f
enum_range|{anyenum}|anyarray|s|f
enum_range|{anyenum,anyenum}|anyarray|s|f
enum_recv|{oid,internal}|anyenum|s|f
enum_send|{anyenum}|bytea|s|f
enum_smaller|{anyenum,anyenum}|anyenum|i|f
eqjoinsel|{internal,int2,internal,internal,oid}|float8|s|f
eqsel|{internal,int4,internal,oid}|float8|s|f
