I250509 18:29:28.709207 253 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2025/05/09 18:29:28
I250509 18:29:29.186951 4488 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63138›,class=system,rpc] 8  connection is now healthy
I250509 18:29:29.304388 5932 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 9  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815375.303910000,0 pro=1746815369.303910000,0 acq=Request [acquisition-type=Request]
I250509 18:29:29.304429 5933 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 10  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815375.303890000,0 pro=1746815369.303890000,0 acq=Request [acquisition-type=Request]
I250509 18:29:29.489130 8591 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 11  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815375.488731000,1 pro=1746815369.488731000,1 acq=Request [acquisition-type=Request]
I250509 18:29:29.489169 8592 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 12  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815375.488677000,0 pro=1746815369.488677000,0 acq=Request [acquisition-type=Request]
I250509 18:29:29.838260 11413 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63158›,class=system,rpc] 13  connection is now healthy
I250509 18:29:29.841785 11328 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63158›,class=default,rpc] 14  connection is now healthy
I250509 18:29:29.892450 11483 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63158›,class=rangefeed,rpc] 15  connection is now healthy
I250509 18:29:29.972699 12528 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63158›,class=default,rpc] 16  connection is now healthy
I250509 18:29:29.975768 12481 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63158›,class=system,rpc] 17  connection is now healthy
I250509 18:29:30.086651 14074 2@kv/kvserver/replica_proposal.go:621 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 18  new range lease repl=(n1,s1):1 seq=1 start=0,0 exp=1746815376.086006000,0 pro=1746815370.086006000,0 acq=Request following <empty>
I250509 18:29:30.086668 14074 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 19  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815376.086006000,0 pro=1746815370.086006000,0 acq=Request [acquisition-type=Request]
I250509 18:29:30.086677 14073 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 20  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815376.085984000,0 pro=1746815370.085984000,0 acq=Request [acquisition-type=Request]
I250509 18:29:30.271359 16993 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 21  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815376.270988000,1 pro=1746815370.270988000,1 acq=Request [acquisition-type=Request]
I250509 18:29:30.271711 16992 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 22  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815376.270988000,0 pro=1746815370.270988000,0 acq=Request [acquisition-type=Request]
I250509 18:29:30.617303 19534 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63175›,class=system,rpc] 23  connection is now healthy
I250509 18:29:30.621193 19576 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63175›,class=default,rpc] 24  connection is now healthy
I250509 18:29:30.676923 19651 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63175›,class=rangefeed,rpc] 25  connection is now healthy
I250509 18:29:30.732024 20394 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63175›,class=default,rpc] 26  connection is now healthy
I250509 18:29:30.734100 20440 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63175›,class=system,rpc] 27  connection is now healthy
I250509 18:29:30.866679 22217 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 28  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815376.866224000,0 pro=1746815370.866224000,0 acq=Request [acquisition-type=Request]
I250509 18:29:30.866730 22216 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 29  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815376.866215000,0 pro=1746815370.866215000,0 acq=Request [acquisition-type=Request]
I250509 18:29:31.227196 24304 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63187›,class=system,rpc] 30  connection is now healthy
I250509 18:29:31.231754 24841 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63187›,class=default,rpc] 31  connection is now healthy
I250509 18:29:31.284024 24871 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63187›,class=rangefeed,rpc] 32  connection is now healthy
I250509 18:29:31.351192 25717 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63187›,class=default,rpc] 33  connection is now healthy
I250509 18:29:31.353256 25771 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63187›,class=system,rpc] 34  connection is now healthy
I250509 18:29:31.463359 27426 2@kv/kvserver/replica_proposal.go:621 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 35  new range lease repl=(n1,s1):1 seq=1 start=0,0 exp=1746815377.462686000,0 pro=1746815371.462686000,0 acq=Request following <empty>
I250509 18:29:31.463374 27426 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 36  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815377.462686000,0 pro=1746815371.462686000,0 acq=Request [acquisition-type=Request]
I250509 18:29:31.463393 27427 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 37  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815377.462687000,0 pro=1746815371.462687000,0 acq=Request [acquisition-type=Request]
I250509 18:29:31.821931 29989 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63200›,class=system,rpc] 38  connection is now healthy
I250509 18:29:31.825519 29919 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63200›,class=default,rpc] 39  connection is now healthy
I250509 18:29:31.881479 30100 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63200›,class=rangefeed,rpc] 40  connection is now healthy
I250509 18:29:31.944491 30833 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63200›,class=default,rpc] 41  connection is now healthy
I250509 18:29:31.946799 30877 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63200›,class=system,rpc] 42  connection is now healthy
I250509 18:29:32.060585 32673 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 43  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815378.059992000,0 pro=1746815372.059992000,0 acq=Request [acquisition-type=Request]
I250509 18:29:32.060716 32690 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 44  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815378.060082000,0 pro=1746815372.060082000,0 acq=Request [acquisition-type=Request]
I250509 18:29:32.246174 35564 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 45  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815378.245963000,0 pro=1746815372.245963000,0 acq=Request [acquisition-type=Request]
I250509 18:29:32.246481 35565 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 46  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815378.245933000,0 pro=1746815372.245933000,0 acq=Request [acquisition-type=Request]
I250509 18:29:32.430433 38491 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 47  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815378.430252000,0 pro=1746815372.430252000,0 acq=Request [acquisition-type=Request]
I250509 18:29:32.430447 38490 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 48  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815378.430252000,1 pro=1746815372.430252000,1 acq=Request [acquisition-type=Request]
I250509 18:29:32.810212 41051 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63223›,class=system,rpc] 49  connection is now healthy
I250509 18:29:32.815280 41077 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63223›,class=default,rpc] 50  connection is now healthy
I250509 18:29:32.872635 40711 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql1,rnode=1,raddr=‹127.0.0.1:63223›,class=rangefeed,rpc] 51  connection is now healthy
I250509 18:29:32.928477 41105 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63223›,class=default,rpc] 52  connection is now healthy
I250509 18:29:32.930547 42110 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63223›,class=system,rpc] 53  connection is now healthy
I250509 18:29:33.030219 43721 2@kv/kvserver/replica_proposal.go:621 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 54  new range lease repl=(n1,s1):1 seq=1 start=0,0 exp=1746815379.029620000,0 pro=1746815373.029620000,0 acq=Request following <empty>
I250509 18:29:33.030235 43721 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 55  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815379.029620000,0 pro=1746815373.029620000,0 acq=Request [acquisition-type=Request]
I250509 18:29:33.030238 43720 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 56  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815379.029622000,1 pro=1746815373.029622000,1 acq=Request [acquisition-type=Request]
I250509 18:29:33.373294 46265 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63235›,class=system,rpc] 57  connection is now healthy
I250509 18:29:33.377233 46298 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63235›,class=default,rpc] 58  connection is now healthy
I250509 18:29:33.427642 44703 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql1,rnode=1,raddr=‹127.0.0.1:63235›,class=rangefeed,rpc] 59  connection is now healthy
I250509 18:29:33.482378 46505 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63235›,class=default,rpc] 60  connection is now healthy
I250509 18:29:33.484590 47215 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63235›,class=system,rpc] 61  connection is now healthy
I250509 18:29:33.627867 48957 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 62  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815379.627145000,1 pro=1746815373.627145000,1 acq=Request [acquisition-type=Request]
I250509 18:29:33.627902 48956 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 63  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815379.627138000,0 pro=1746815373.627138000,0 acq=Request [acquisition-type=Request]
I250509 18:29:33.976620 51479 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63250›,class=system,rpc] 64  connection is now healthy
I250509 18:29:33.982935 50631 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63250›,class=default,rpc] 65  connection is now healthy
I250509 18:29:34.039743 51575 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql1,rnode=1,raddr=‹127.0.0.1:63250›,class=rangefeed,rpc] 66  connection is now healthy
I250509 18:29:34.106555 52621 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63250›,class=default,rpc] 67  connection is now healthy
I250509 18:29:34.108647 52694 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63250›,class=system,rpc] 68  connection is now healthy
I250509 18:29:34.223051 54193 2@kv/kvserver/replica_proposal.go:621 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 69  new range lease repl=(n1,s1):1 seq=1 start=0,0 exp=1746815380.222454000,0 pro=1746815374.222454000,0 acq=Request following <empty>
I250509 18:29:34.223068 54193 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 70  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815380.222454000,0 pro=1746815374.222454000,0 acq=Request [acquisition-type=Request]
I250509 18:29:34.223074 54194 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 71  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815380.222447000,0 pro=1746815374.222447000,0 acq=Request [acquisition-type=Request]
I250509 18:29:34.562487 56707 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63262›,class=system,rpc] 72  connection is now healthy
I250509 18:29:34.566257 56270 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63262›,class=default,rpc] 73  connection is now healthy
I250509 18:29:34.614407 56792 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63262›,class=rangefeed,rpc] 74  connection is now healthy
I250509 18:29:34.678021 57752 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63262›,class=default,rpc] 75  connection is now healthy
I250509 18:29:34.680031 57726 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63262›,class=system,rpc] 76  connection is now healthy
I250509 18:29:34.821335 59370 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 77  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815380.821046000,0 pro=1746815374.821046000,0 acq=Request [acquisition-type=Request]
I250509 18:29:34.821665 59369 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 78  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815380.821276000,0 pro=1746815374.821276000,0 acq=Request [acquisition-type=Request]
I250509 18:29:35.004854 62306 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 79  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815381.004413000,1 pro=1746815375.004413000,1 acq=Request [acquisition-type=Request]
I250509 18:29:35.004988 62307 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 80  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815381.004396000,0 pro=1746815375.004396000,0 acq=Request [acquisition-type=Request]
I250509 18:29:35.189138 65202 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 81  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815381.189007000,0 pro=1746815375.189007000,0 acq=Request [acquisition-type=Request]
I250509 18:29:35.189202 65203 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 82  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815381.188948000,0 pro=1746815375.188948000,0 acq=Request [acquisition-type=Request]
I250509 18:29:35.544006 67775 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63284›,class=system,rpc] 83  connection is now healthy
I250509 18:29:35.547750 66954 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63284›,class=default,rpc] 84  connection is now healthy
I250509 18:29:35.597625 66971 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql1,rnode=1,raddr=‹127.0.0.1:63284›,class=rangefeed,rpc] 85  connection is now healthy
I250509 18:29:35.660304 68842 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63284›,class=default,rpc] 86  connection is now healthy
I250509 18:29:35.662506 68887 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63284›,class=system,rpc] 87  connection is now healthy
